Title,Heading,Content,Tokens
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"3106 Metabolism examines the catabolism of carbohydrates, lipids and amino acids. Other topics will be: mitochondria, chloroplasts and ATP synthesis; biosynthesis of carbohydrates and lipids; metabolic specialization of differentiated cells and tissues; and, integration of metabolism. CR: BIOC 3206, the former BIOC 3102 or Pharmacy 3111 LH: one three-hour laboratory or one-hour tutorial per week OR: one-hour tutorial or one three-hour laboratory per week PR: BIOC 2201 or the former 2101, Science 1807 and Science 1808",128
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"3107 Nucleic Acid Biochemistry and Molecular Biology examines the structure, function and biochemistry of DNA and RNA and the biochemical processes in the flow of information from the gene to protein. These will include: DNA replication, recombination and repair processes; transcription of RNA and RNA splicing; and protein synthesis. The regulation of gene expression will also be covered at an introductory level. The course will also include an introduction to cloning methodology. CR: BIOC 3207 LH: up to four hours per week which will normally consist of one three hour laboratory period plus one additional hour on the following day. PR: BIOC 2201 or the former 2101; and one of BIOC 2100, 2200, or Biology 2250, Science 1807 and Science 1808",162
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"3108 Molecular Biochemistry of the Cell focuses on the molecular biochemistry of intracellular regulation, including advances in topics such as signal transduction, apoptosis and cancer. Other topics will include protein processing and sorting, cyclins, G-protein structure, function and regulation, cell adhesion molecules and the structure of the extracellular matrix. PR: BIOC 2100 or 2200, or Biology 2250; and BIOC 2201 or the former 2101",101
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,311A/B Human Physiology - inactive course.,18
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,3202 Community Nutrition - inactive course.,15
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"3203 Fundamentals of Human Nutrition is the cornerstone course for the study of nutrition. The sources, uptake and physiologic roles of essential nutrients will be discussed in the context of growth, maintenance, reproduction and overall health in humans. CO: BIOC 3106 or 3206 CR: the former BIOC 3201 PR: BIOC 2201 or the former 2101, 2600",84
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"3206 Metabolism examines the catabolism of carbohydrates, lipids and amino acids. Other topics will be: mitochondria, chloroplasts and ATP synthesis; biosynthesis of carbohydrates and lipids; metabolic specialization of differentiated cells and tissues; and, integration of metabolism. CR: BIOC 3106, the former BIOC 3102 or Pharmacy 3111 PR: BIOC 2201 or the former 2101",92
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"3207 Nucleic Acid Biochemistry and Molecular Biology examines the structure, function and biochemistry of DNA and RNA and the biochemical processes in the flow of information from the gene to protein. These will include: DNA replication, recombination and repair processes; transcription of RNA and RNA splicing; and protein synthesis. The regulation of gene expression will also be covered at an introductory level. The course will also include an introduction to cloning methodology. CR: BIOC 3107 PR: BIOC 2201 or the former 2101; and one of BIOC 2100, 2200, or Biology 2250",127
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"3402 Food Chemistry examines the following topics: water structure and the role of water in chemical reactions and mechanical properties of foods; chemistry and physical properties of carbohydrates, proteins and lipids; food dispersions; pigments and natural colorants; food flavour; enzyme properties and applications; vitamins and minerals; chemistry of enzymic and non-enzymic browning; characteristics of: muscle tissue, milk, eggs, bread and edible plant tissue; food additives; and, chemical changes in foods during processing. LH: 3 PR: BIOC 2005; BIOC 2201 or the former 2101; Chemistry 2400, Science 1807 and Science 1808",138
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"3600 Sports and Exercise Nutrition deals with the specific roles of nutrients in sport and exercise, and the application of nutrition to sport and exercise. CR: the former BIOC 4241 PR: BIOC 2600 or HKR 2600 or the former BIOC 3200/3201; and one of BIOC 311B, MED 310B, HKR 2320",79
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"3906 Nutritional Biochemistry and Metabolism Laboratory teaches advanced biochemical lab and critical thinking skills with a focus on metabolism and nutrition-related biochemistry. Topics may include animal diet formulation, tissue culture, immunoblots, metabolic flux assays, metabolic regulation, nutrient metabolism, metabolomics and metabolic energetics. Students develop their quantitative reasoning, teamwork, and written and oral communication skills. Students may have opportunities to tour lab facilities and to co-author a scientific publication based on their results. AR: attendance is required in the laboratory component of this course CO: BIOC 3106 or 3206 LH: 3 PR: BIOC 2901, Science 1807 and Science 1808",145
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"3907 Molecular Biology Laboratory develops biochemical lab and critical thinking skills through a molecular biology focused project. Topics may include restriction digestion, PCR amplification-based techniques, recombinant DNA and plasmid construction, gene expression systems, nucleic acid bioinformatics, and application of high through-put methods in molecular biology. Students develop their quantitative reasoning, teamwork and communication skills (written and oral). Students may have the opportunity to coauthor a peer-reviewed scientific publication based on their results. AR: attendance is required in the laboratory component of this course LH: 3 PR: BIOC 2901, Science 1807 and Science 1808, and one of BIOC 2100, 2200, Biology 2250",148
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"4002 Biochemical Regulation examines metabolic regulation at the cellular and multicellular level. Topics will include: control theory; hormones: their biosynthesis and mechanism of action; signal transduction; and, endocrine coordination of metabolic processes. Principles will be illustrated by the use of case studies from the medical and veterinary literature. LC: two to three hours per week, together with assigned reading and case studies PR: BIOC 2100 or 2200, or Biology 2250; BIOC 3106 or 3206",108
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"4101 Proteins will review the history of protein research and the general properties of proteins and include other topics such as: strategy and methods for purification; chemical structure, properties, modification and determination of the protein amino acids; sequencing strategy, chain cleavage methods and end group analysis; folding of the protein main chain and techniques to determine structure; and, the relationship between structure and function: protein filaments, motors and regulators. It will also cover disease-related proteins and other examples from the current literature. LC: two to three hours per week, together with assigned reading PR: BIOC 3105",129
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,4102 Current Topics in Biochemistry is a seminar course in which faculty and students will discuss topics of current interest in the biochemical literature. Students will be responsible for reading and critically assessing recent literature. PR: Honours Biochemistry students in their final year or permission of the Head,62
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"4103 Prokaryotic Gene Regulation is a detailed and up-to-date treatment of the mechanisms of genetic regulation found in bacterial cells. The course will develop topics based on the evidence of bacterial genetics and modern molecular biological experiments. Topics may include: theory of mutations, RNA transcription, positive and negative regulation of transcription; regulation of protein synthesis; control of DNA replication; bacterial operons and regulons; developmental molecular biology in bacterial systems; and evolution and molecular biology of organelles. PR: BIOC 3107 or 3207",115
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"4104 Eukaryotic Gene Regulation and Developmental Biology details the cellular and molecular aspects of eukaryotic gene regulation and development. Topics to be covered will include the DNA content and organization of eukaryotes, mechanisms controlling the expression of eukaryotic genetic information at the transcriptional and post-transcriptional levels, and the methodologies used to define these mechanisms. Detailed consideration will be given to the cell-surface events which regulate nuclear gene expression and cell lineage specification. Developmental mechanisms operating in a number of model systems will be discussed. PR: BIOC 3107, 3108, or 3207",134
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"4105 Immunology (same as Biology 4200 and Pharmacy 3006 and the former Pharmacy 4105) is an introduction to the cells and organs of the innate and adaptive immune systems. The molecular and cellular basis of allergy, autoimmunity, vaccination and cancer immunology will also be discussed. CR: Biology 4200, Pharmacy 3006, the former Pharmacy 3105, the former Pharmacy 4105 PR: BIOC 2201 or the former 2101",104
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"4200 Bioenergetics and Biological Oxidation examines topics such as: respiration and electron transport; the functional organization of energy transducing membranes; the structure and function of flavoenzymes, cytochromes, iron-sulfur proteins and quinones; enzyme reduction of oxygen; and, free radicals in biological systems. LC: two to three hours per week and assigned reading PR: BIOC 3106 or BIOC 3206",99
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"4201 Membranes - Structure and Function examines the structure of model and biological membranes, the molecular interactions between membrane components and the effects of these interactions on the biophysical and functional properties of membranes. Other topics will include the structure-function of specialized membranous systems, such as lipoprotein, lung surfactant, and lipid rafts; membrane lipid composition in biochemical adaptation and function; and the role of membrane proteins in intracellular trafficking, receptor function, enzymatic activity and membrane-related diseases. PR: BIOC 3105",118
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"4210 Biochemical Research Techniques I examines the proteome and the genome. This course is designed to familiarize students with current methodology employed in the analyses of the complements of proteins and genes resident in eukaryotic cells. Emphasis will be placed on techniques that facilitate the simultaneous functional analyses of large numbers of proteins or genes. A variety of techniques, used in the study of expression and functional proteomics, will be described, including 2D PAGE, tagged proteins, fluorophores, mass spectrometry and protein microarrays. Techniques used in the study of gene expression and functional genomics will also be described, including the use of reporter gene constructs, analysis of protein-DNA interactions, expressions of cloned genes and several experimental approaches used to define the eukaryotic transcriptome. AR: attendance is required PR: BIOC 3105",179
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"4211 Biochemical Research Techniques II introduces students to the primary literature of metabolism. It teaches them to critique, both orally and in writing, current research papers. By means of guest lecturers and field trips it introduces students to biochemical activities outside of the home department. AR: attendance is required PR: BIOC 3106 or 3206",74
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"4230 Lipid and Lipoprotein Metabolism is designed to provide current knowledge about advances and controversies in lipid and lipoprotein metabolism in the context of health and disease. Topics to be covered include advanced knowledge about lipid and lipoprotein synthesis and regulation, reverse cholesterol transport, plus lipid and lipoprotein utilization to regulate cellular and physiological functions. The covered topics will be related to areas such as reproductive biology, atherosclerosis, AIDS, Alzheimer’s, and cancer. CR: BIOC 6000 PR: One of BIOC 3106, 3206, Pharmacy 3111",126
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"4231 Molecular Biology of the Bacterial-Human Interface will explore the molecular biology of the bacteria that inhabit or invade human bodies, how these bacteria get established in humans, the biochemical mechanisms by which some bacterial pathogens can damage the host, and the contest for essential nutrients (e.g. iron) between bacteria and host. PR: BIOC 3107 or 3207, or permission of the course instructor",88
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"4232-4239 Special Topics in Biochemistry will be given for senior undergraduates, and will cover a range of topics in specialized fields in Biochemistry. They may be taught by visiting specialists when available. PR: to be determined at the time of offering",59
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"4240 Gene-Nutrient Interactions and Personalized Nutrition is designed to familiarize students with emerging discoveries in the area of diet-gene interaction and to further their understanding of the relationships between the genome and diet as well as the potential to design personalized diets for better health. Students will develop an appreciation for the role of nutrients in the prevention and/or development of disease. PR: BIOC 2100, 2200 or Biology 2250; BIOC 3106 or BIOC 3206; and one of BIOC 3203 or the former BIOC 3200",120
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"4241-4249 Special Topics in Nutrition will be given for senior undergraduates, and will cover a range of topics in specialized fields in Nutrition. They may be taught by visiting specialists when available. PR: to be determined at the time of offering",57
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"4300 Advanced Nutrition is a course in which current controversies and trends in human nutrition are presented and discussed using the scientific literature. PR: BIOC 3203 or the former BIOC 3200/3201, and either BIOC 311B or Medicine 310B",59
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"4301 Nutrition and Disease is a course which addresses the scientific basis for nutritional intervention in chronic human disease. PR: BIOC 3203 or the former BIOC 3200/3201, and either BIOC 311B or Medicine 310B",55
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,4502 Techniques in Nutrition Research is a seminar course in which faculty and students will discuss concepts and methods used in the study of nutrition. Students will be responsible for reading and critically assessing recent literature. PR: BIOC 4301 PR: Honours Nutrition students in their final year or permission of the Head,67
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,499A and 499B Dissertation is the independent study of a problem in Biochemistry and is obligatory for Honours students in Biochemistry and Biochemistry(Nutrition). Faculty advisors will guide the subject of study which must be approved by the Head of the Department or delegate. The written dissertation shall be submitted by the end of the tenth week of the second semester. At the end of that semester the student will give an oral presentation and answer questions on their study. CH: 6 OR: Occasional classes will be held to guide and advise students in the preparation of their written reports. Students are expected to attend these classes. PR: Honours students in their final year or permission of the Head; Science 1807 and Science 1808,155
Information about Faculty of Science at Memorial University of Newfoundland,Glossary of Terms,"AR = Attendance requirement; CH = Credit hours are 3 unless otherwise noted; CO = Co-requisite(s); CR = Credit can be retained for only one course from the set(s) consisting of the course being described and the course(s) listed; LC = Lecture hours per week are 3 unless otherwise noted; LH = Laboratory hours per week; OR = Other requirements of the course such as tutorials, practical sessions, or seminars; PR = Prerequisite(s); UL = Usage limitation(s).",105
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"1001 Principles of Biology is an introduction to the science of Biology, including a discussion of the unity, diversity and evolution of living organisms. LH: 3 PR: Science 1807 and Science 1808",46
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"1002 Principles of Biology is an introduction to the science of Biology, including a discussion of the unity, diversity and evolution of living organisms. LH: 3 PR: Science 1807 and Science 1808; BIOL 1001",51
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"2010 Biology of Plants is a study of the structure, function and reproductive biology of plants, with emphasis on the vascular plants, and on their relationship to environment and human activities. LH: 3 PR: Science 1807 and Science 1808; BIOL 1001 and 1002",61
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"2040 Modern Biology and Human Society I examines various aspects of the human body, and the implications of modern biological research for human beings. Topics include cancer; diet and nutrition and associated diseases; circulatory disease, immunity, human genetics, biorhythms, new diseases, genetic engineering and reproductive engineering. OR: seminars UL: not acceptable as one of the required courses for the Minor, Major or Honours programs in Biology",92
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"2041 Modern Biology and Human Society II examines the origins and consequences of the environmental crisis of the 20th century. Topics include the population explosion, energy, material cycles, air and water and land pollution, global food supplies, the fisheries, wildlands, renewable and non-renewable resources, environmental ethics. OR: seminars UL: not acceptable as one of the required courses for the Minor, Major or Honours programs in Biology",93
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"2060 Principles of Cell Biology is a modern view of the biology of eukaryotic cells, organelles and molecules and their interactions in the functioning of living organisms. CR: the former BIOL 3060 LH: 3 PR: Science 1807 and Science 1808; BIOL 2250 or Biochemistry 2200",71
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"2120 Biology for Students of Earth Sciences is an introduction of the principles of Biology for students in Earth Sciences. Topics will include principles of classification, levels of biological organization, fundamental characteristics of living organisms and basic concepts in ecology. CR: BIOL 1001 or 1002 LH: 3 PR: Science 1807 and Science 1808; Earth Science major; Earth Sciences 1001 or 1002 or permission of the Head of Department. UL: may not be used for credit by Biology Majors or Minors",107
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"2122 Biology of Invertebrates is a study of the invertebrates with emphasis on structure and function, adaptations and life histories. The laboratories will present a broad survey of the major invertebrate groups. CR: the former BIOL 3122 LH: 3 PR: Science 1807 and Science 1808; BIOL 1001, 1002",77
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"2210 Biology of Vertebrates is a study of the vertebrates, with emphasis on structure and function, adaptations and life histories. CR: the former BIOL 3210 LH: 3 PR: Science 1807 and Science 1808; BIOL 1001, 1002",61
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"2250 Principles of Genetics is an introduction to Mendelian and molecular genetics. Phenotype and genotype, behaviour of alleles in genetic crosses, chromosome theory of inheritance, genetic linkage, molecular biology of DNA, RNA and protein, molecular basis of mutation, recombinant DNA, applications of genetic biotechnology. CR: Biochemistry 2100, Biochemistry 2200, the former BIOL 3250 LH: 3 PR: Science 1807 and Science 1808; BIOL 1001 and 1002; Chemistry 1050 (or Chemistry 1200)",113
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"2600 Principles of Ecology is a conceptual course introducing the principles of ecology, including theoretical, functional and empirical approaches. CR: the former BIOL 3600 LH: 3 PR: Science 1807 and Science 1808; BIOL 1001 and 1002, or BIOL 2120 and admission to a major in Environmental Physics",70
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"2900 Principles of Evolution and Systematics is an introduction to the processes and patterns of evolution, and the principles of classification. Natural selection and other microevolutionary processes, variation and adaptation, species and speciation, phylogenetic systematics, reconstruction of phylogeny, macro-evolutionary patterns in the fossil record and their interpretation. CR: the former BIOL 3900 LH: 3 PR: Science 1807 and Science 1808; BIOL 2250",99
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"3014 Biology and Ecology of Boreal and Arctic Seaweeds is a field course examination of seaweed biology and ecology with special study of living specimens in estuarine, fiordic and exposed coastal sites, demonstrating their physiological and ecological adaptations to cold-water habitats. CR: the former BIOL 4014 OR: this course is offered at the Bonne Bay Marine Station during the Summer semester with two weeks of instruction followed by a week to complete course requirements PR: Science 1807 and Science 1808; BIOL 2600 or equivalent",114
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"3050 Introduction to Microbiology is a course in which the basic principles underlying microbial life are studied. Aspects include structure, function, bioenergetics and growth with an emphasis on prokaryotes. Also studied are viruses, microbial diseases, introductory principles of immunology and the control of microorganisms. The laboratory sessions provide training in culture and determinative techniques using microorganisms. LH: 3 PR: Science 1807 and Science 1808; BIOL 1001 and 1002",103
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"3052 Food Microbiology (same as Biochemistry 3052) is the study of the microbiology of water and food with regard to the beneficial and detrimental roles of microorganisms on interaction with these systems. Emphasis will be on the microbiology of food, fermentations, food spoilage and food borne vectors of human disease. CR: Biochemistry 3052 and the former Biochemistry 3054, Biochemistry 3401 LC: three hours per week LH: three hours per week PR: Science 1807 and Science 1808; BIOL 3050",116
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"3053 Microbiology for Nurses examines the fundamentals of microbiology with an emphasis on medical microbiology. The course will include topics such as: host responses to infections, human diseases caused by microorganisms, and the control and exploitation of microorganisms. LH: 2 PR: Science 1807 and Science 1808; students admitted to the Bachelor of Science in Nursing (Collaborative) program UL: not acceptable as one of the required courses for the Minor, Major or Honours programs in Biology, nor is it acceptable for any of the joint programs between Biology and other disciplines",121
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,3202 Comparative Vertebrate Anatomy examines the phylogenetic development and comparative anatomy of the vertebrates. CR: the former BIOL 3200 or the former BIOL 3201 LH: 3 PR: Science 1807 and Science 1808; BIOL 1001 and 1002,63
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"3295 Population and Evolutionary Ecology is an introduction to the theory and principles of evolutionary ecology and population dynamics. CR: the former BIOL 4290 LH: 3 PR: Science 1807 and Science 1808; BIOL 2600, BIOL 2900",57
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"3300 Introductory Entomology is a study of the classification and ecology of insects within an evolutionary framework. Topics will include molecular biological and classical morphological issues surrounding insect taxonomy, evolutionary based higher systematics, and the ecological roles of insects in a variety of ecosystems. CR: the former BIOL 4140, the former BIOL 4150 LH: 3 PR: Science 1807 and Science 1808; BIOL 2600. It is recommended that students have successfully completed BIOL 2900",105
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"3401 Comparative Animal Physiology is a comparative study of the basic physiological processes, with special attention paid to those strategies invoked by animals which enable them to adapt to environmental changes. CO: Biochemistry 3106 or 3206 CR: the former BIOL 4401 LH: 3 PR: Science 1807 and Science 1808; BIOL 2060 and 2210 PR: Biochemistry 3106 or 3206",88
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"3402 Principles of Plant Physiology is a consideration of the principles of plant physiology, including water relations, nutrition, metabolism, growth and development. CO: Biochemistry 3106 or 3206 CR: the former BIOL 4403 LH: 3 PR: Science 1807 and Science 1808; BIOL 2010 and 2060 PR: Biochemistry 3106 or 3206",80
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"3500 Histology is a study of microstructure and ultrastructure of tissues and organ systems in vertebrates, particularly mammals, with emphasis on correlating structure and function. LH: 3 PR: Science 1807 and Science 1808; BIOL 2060 and 2210",62
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"3530 Molecular and Developmental Biology is a study of developmental model systems with a focus on the underlying principles and molecular mechanisms involved in embryogenesis, organogenesis, morphogenesis, cellular differentiation, growth and regeneration in animals (vertebrates and invertebrates) and plants. Current cellular and molecular biology techniques and the implications of developmental biology in modern biological and health research will be emphasized. LH: 3 PR: Science 1807 and Science 1808; BIOL 2060 and BIOL 2250 or Biochemistry 2100 or Biochemistry 2200",114
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"3610 Boreal Ecology is a study of the principal features of terrestrial ecosystems, with emphasis on the boreal region. This course may be offered in a usual 13 week semester or as a two-week field course. CR: Environmental Science 3131 LC: either three hours of lecture and three hours of laboratory per week or a two week field course that embodies equivalent instructional time LH: either three hours of lecture and three hours of laboratory per week or a two week field course that embodies equivalent instructional time PR: BIOL 2600 and 27 credit hours in Biology",117
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biology courses,"3630 Freshwater Biology is the study of the physical, chemical and biological aspects of the freshwater habitat. Topics will include morphometry, light and temperature, water chemistry in relation to nutrients, physiological requirements, composition and interaction of algal and invertebrate populations. Eutrophication, pollution, and environmental changes will also be covered. CR: ENVS 3130 LH: 3 PR: Science 1807 and Science 1808; BIOL 2600",96
